Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Y1,Y21,Y22,Y23,Var38,Var39,Var40,Y31,Y32,Y33,Y41,Y42,Y43,Y51,Y52,Y53,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20205001,20/02/05 수요일,32600,118,25,118,70,36,1200,107,20.1,9.8,3,3,16.4,8.9,0.2,14.549,63,63,0,0,1,20,23,49,58,58,37,38,42,0.0188,165.5,169.6,168.2,35.43,36.05,35.34,0,-0.63,-0.74,330.8,338.1,370,470.3,427.5,425.6,5.5,P2E01,P2E01,99.41,99.87,85.07,88.01,13.31,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20205002,20/02/05 수요일,32600,118,25,118,80,36,1200,107,19.8,9.7,3,3,17,7.8,0.9,14.527,61,61,0,0,0,15,19,51,58,60,38,38,44,0.0188,171.3,177.4,153.6,37.27,36.34,37.06,0,-0.5,-0.61,173.7,194,162.5,245.5,132.8,246,4.7,P2E04,P2E04,99.82,99.84,86.98,90.94,14.61,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20205003,20/02/05 수요일,32600,118,25,118,80,36,1200,107,19.8,9.5,3,3,17,8,1,14.475,62,63,0,0,0,17,21,51,57,61,39,40,46,0.019,177.4,193.6,191.1,35.83,36.04,36.54,0,-0.53,-0.66,3243.1,274.2,249.9,382.2,319,369.6,4.7,P2E06,P2E06,99.09,99.67,86.7,89.42,12.85,J,PG,AP,3600,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20206001,20/02/06 목요일,32600,118,25,118,50,36,1200,107,20,9.5,3,3,15.9833,8.3,-0.75,14.586,64.817,63.691,0,0,0,0,0,0,0,-1,0,0,0,0.0187,163.7,166.8,146.4,35.84,36.06,36.61,0,-1.06,-0.92,321.8,321.3,338.3,450.5,535.2,546.6,7,P2E11,P2E11,99.79,99.9,86.16,88.23,10.89,J,PG,AP,2650,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20206002,20/02/06 목요일,32600,118,25,118,50,36,1200,107,19.5,9.5,3,3,16.4,7.8,-0.3,15.195,64,65,0,0,4,32,27,42,56,54,33,31,33,0.019,172.4,174,148.5,36.63,36.32,35.51,0,-0.95,-0.87,254.1,284.5,333.1,429.5,423,421.3,6.1,P2E02,P2E02,98.93,99.4,82,86.61,14.24,J,PG,AP,3600,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20206003,20/02/06 목요일,38000,93.5,27,93.5,50,36,1200,107,19.5,9.5,3,3,16.7,8.6,-0.4,16.784,64,64,0,0,0,17,20,46,55,57,35,34,36,0.0191,138.1,138.2,163.1,36.76,36.39,36.8,0,-1.19,-1.08,317.5,288.1,313,326.6,392.1,396.1,8.6,P2E02,P2E02,98.93,99.4,82,86.61,14.24,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20206004,20/02/06 목요일,33500,115,26,115,60,36,1200,107,19.5,9.5,3,3,16.9,8.4,-0.7,15.004,64,63,0,0,2,21,24,47,57,56,36,34,37,0.0192,182,188.9,178.9,35.72,35.53,34.97,0,-0.58,-0.75,727.7,674.7,812.1,637,562.4,437.7,4.9,P2E05,P2E05,99.7,99.93,88.16,87.6,11.01,I,AL,AL,2790,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20206005,20/02/06 목요일,33500,115,26,115,60,36,1200,107,19.5,9.5,3,3,17,8.4,-0.2,14.97,63,63,0,0,2,23,26,48,60,58,37,35,39,0.0188,167.8,167.6,163.6,35.69,35.56,36.94,0,-0.91,-1.01,1619.3,1524.3,1611.5,777,801.8,743.9,7.6,P2E06,P2E06,99.63,99.87,88.24,88.07,9.25,I,AL,AL,2710,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20206006,20/02/06 목요일,31000,129,23,129,60,36,1200,107,19.5,9.5,3,3,17.3,8.8,1.6,14.952,63,63,0,0,3,25,28,48,58,58,36,35,39,0.0188,159.2,169.5,153.9,36.03,35.56,36.64,0,-0.75,-0.96,1345.1,1387,1489.5,1001.5,952.1,1136.3,6.5,P2E09,P2E09,92.03,92.02,82.15,81.56,13.66,I,AL,AL,2640,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20207001,20/02/07 금요일,33500,115,26,115,60,36,1200,107,19.5,9.5,3,3,16.7,8.7,1.2,14.996,63,63,0,0,3,25,26,48,58,58,37,35,39,0.0189,185.6,167.7,168.6,37.09,36.69,37.34,0,-0.98,-1.05,949.3,1562.1,2415.9,764.9,824.5,897,6.3,P2E04,P2E04,91.98,91.99,81.43,83.26,11.6,I,AL,AL,2630,,,,,,,,
